Title,Year Released,Movie Length,Movie Rating,Star Rating
Dangal,2016,2h 41m,13+,8.3
Top Gun: Maverick,2022,2h 10m,SU,8.3
Per qualche dollaro in più,1965,2h 12m,R,8.2
Batman Begins,2005,2h 20m,D,8.2
Some Like It Hot,1959,2h 1m,Passed,8.2
The Kid,1921,1h 8m,Passed,8.2
The Wolf of Wall Street,2013,3h,21+,8.2
The Father,2020,1h 37m,13+,8.2
Green Book,2018,2h 10m,13+,8.2
All About Eve,1950,2h 18m,Passed,8.2
Judgment at Nuremberg,1961,2h 59m,Approved,8.3
The Truman Show,1998,1h 43m,21,8.2
There Will Be Blood,2007,2h 38m,18+,8.2
Ran,1985,2h 42m,R,8.2
Casino,1995,2h 58m,21+,8.2
Shutter Island,2010,2h 18m,21,8.2
Pan's Labyrinth,2006,1h 58m,R,8.2
The Sixth Sense,1999,1h 47m,17+,8.2
Unforgiven,1992,2h 10m,R,8.2
Jurassic Park,1993,2h 7m,16+,8.2
A Beautiful Mind,2001,2h 15m,17+,8.2
The Treasure of the Sierra Madre,1947,2h 6m,Passed,8.2
Yôjinbô,1961,1h 50m,,8.2
No Country for Old Men,2007,2h 2m,21,8.2
Kill Bill: Vol. 1,2003,1h 51m,21+,8.2
Monty Python and the Holy Grail,1975,1h 31m,PG,8.2
The Great Escape,1963,2h 52m,Approved,8.2
The Thing,1982,1h 49m,D,8.2
Rashômon,1950,1h 28m,,8.2
Finding Nemo,2003,1h 40m,SU,8.2
The Elephant Man,1980,2h 4m,PG,8.2
Chinatown,1974,2h 10m,R,8.2
Gone with the Wind,1939,3h 58m,Passed,8.2
Howl's Moving Castle,2004,1h 59m,7+,8.2
Dial M for Murder,1954,1h 45m,PG,8.2
V for Vendetta,2005,2h 12m,D,8.2
Spider-Man: No Way Home,2021,2h 28m,SU,8.2
Raging Bull,1980,2h 9m,R,8.1
"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1
El Secreto De Sus Ojos,2009,2h 9m,R,8.2
Inside Out,2015,1h 35m,SU,8.1
Prisoners,2013,2h 33m,17+,8.1
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,21,8.1
The Bridge on the River Kwai,1957,2h 41m,PG,8.1
Trainspotting,1996,1h 33m,21,8.1
Fargo,1996,1h 38m,R,8.1
Warrior,2011,2h 20m,13+,8.1
Gran Torino,2008,1h 56m,R,8.1
Catch Me If You Can,2002,2h 21m,16+,8.1
Tonari no Totoro,1988,1h 26m,SU,8.1
Million Dollar Baby,2004,2h 12m,PG-13,8.1
